in_out,east_west,plot,tag_num,species,browse_y_n,browse_severity_high_low,height_in,height_cm,diameter_mm,Notes
in,west,12,1,RC,N,n/a,16.5,41.91,5.56,
in,west,12,2,DF,N,n/a,14.5,36.83,10.25,
in,west,12,3,DF,N,n/a,10,25.4,6.42,
in,west,12,4,DF,N,n/a,16,40.64,6.03,
in,west,12,5,RC,N,n/a,18.5,46.99,3.58,
in,west,13,1,DF,N,n/a,18,45.72,11,
in,west,13,2,RC,N,n/a,18,45.72,5.22,
in,west,13,3,RC,N,n/a,21.5,54.61,6.12,
in,west,14,1,RC,N,n/a,19,48.26,4.35,
in,west,14,2,DF,N,n/a,23.5,59.69,10.44,
in,west,14,3,RC,N,n/a,15,38.1,4.19,
in,west,15,1,RC,N,n/a,19.5,49.53,4.4,
in,west,15,2,RC,N,n/a,22,55.88,9.25,
in,west,15,3,DF,N,n/a,15,38.1,7.07,
in,west,16,1,DF,N,n/a,24.5,62.23,12.41,
in,west,16,2,DF,N,n/a,16,40.64,8.12,
in,west,16,3,RC,N,n/a,18,45.72,5.24,
in,west,16,4,RC,N,n/a,18.5,46.99,3.6,
in,east,1,1,DF,N,n/a,17,43.18,11.78,
in,east,1,2,RC,N,n/a,16,40.64,3.38,
in,east,1,3,RC,N,n/a,18.5,46.99,4.79,
in,east,1,4,RC,N,n/a,19,48.26,4.41,
in,east,2,1,DF,N,n/a,18.5,46.99,9.72,
in,east,2,2,DF,N,n/a,24,60.96,9.27,
in,east,2,3,RC,N,n/a,15.5,39.37,6.37,
in,east,3,1,DF,N,n/a,19.5,49.53,11.07,
in,east,3,2,DF,N,n/a,16,40.64,10.9,
in,east,3,3,RC,N,n/a,12,30.48,4.9,
in,east,4,1,RC,N,n/a,13.5,34.29,2.94,
in,east,4,2,RC,N,n/a,11,27.94,2.69,
in,east,4,3,DF,N,n/a,18,45.72,7.97,
in,east,4,4,RC,N,n/a,17,43.18,4.61,
in,east,5,1,DF,N,n/a,19.5,49.53,13.89,
in,east,5,2,RC,N,n/a,18.5,46.99,4.39,
in,east,5,3,DF,N,n/a,28,71.12,10.96,
in,east,5,4,RC,N,n/a,15.5,39.37,4.1,
in,east,6,1,RC,N,n/a,16.5,41.91,5.17,
in,east,6,2,RC,N,n/a,15,38.1,4.29,
in,east,6,3,DF,N,n/a,19.5,49.53,11.46,
in,east,6,4,RC,N,n/a,19.5,49.53,3.87,
in,east,7,1,RC,N,n/a,20,50.8,4.16,
in,east,7,2,DF,N,n/a,13,33.02,8.09,
in,east,7,3,RC,N,n/a,19.5,49.53,4.9,
in,east,7,4,RC,N,n/a,18.5,46.99,4.11,
in,east,8,1,RC,N,n/a,11,27.94,3.93,
in,east,8,2,DF,N,n/a,20,50.8,7.47,
in,east,8,3,DF,N,n/a,14,35.56,10.14,
in,east,8,4,RC,N,n/a,15.5,39.37,4.05,
in,east,8,5,RC,N,n/a,17,43.18,3.72,
in,east,8,6,RC,N,n/a,13.5,34.29,2.71,
in,east,8,7,RC,N,n/a,14.5,36.83,2.73,
in,east,9,1,RC,N,n/a,13.5,34.29,3.73,
in,east,9,2,RC,N,n/a,14.5,36.83,4.28,
in,east,9,3,DF,N,n/a,13,33.02,7.54,
in,east,9,4,DF,N,n/a,19,48.26,9.47,
in,east,10,1,RC,N,n/a,21,53.34,4.73,
in,east,10,2,RC,N,n/a,14,35.56,3.43,
in,east,10,3,DF,N,n/a,11,27.94,5.73,
in,east,10,4,DF,N,n/a,21,53.34,8.77,
in,east,11,1,RC,N,n/a,16,40.64,3.47,
in,east,11,2,RC,N,n/a,18.5,46.99,5.25,
in,east,11,3,DF,N,n/a,15.5,39.37,10.9,
in,east,11,4,DF,N,n/a,19,48.26,8.33,
in,east,11,5,RC,N,n/a,18.5,46.99,3.86,
in,east,12,1,DF,N,n/a,20,50.8,13.08,
in,east,12,2,DF,N,n/a,19,48.26,10.51,
in,east,12,3,RC,N,n/a,20,50.8,5.58,
in,east,12,4,RC,N,n/a,21,53.34,4.45,
in,east,13,1,DF,N,n/a,14.5,36.83,7.16,
in,east,13,2,RC,N,n/a,18,45.72,5.99,
in,east,13,3,RC,N,n/a,18.5,46.99,4.03,
in,east,13,4,DF,N,n/a,15.5,39.37,7.65,
in,east,14,1,RC,N,n/a,14,35.56,3.29,
in,east,14,2,RC,N,n/a,17,43.18,4.38,
in,east,14,3,DF,N,n/a,17,43.18,9.2,
in,east,15,1,RC,N,n/a,13,33.02,3.66,
in,east,15,2,RC,N,n/a,14.5,36.83,3.96,
in,east,15,3,DF,N,n/a,8,20.32,5.94,
in,east,15,4,DF,N,n/a,8,20.32,3.46,
in,east,15,5,DF,N,n/a,22.5,57.15,11.78,
in,east,16,1,RC,N,n/a,15,38.1,4.87,
in,east,16,2,RC,N,n/a,12.5,31.75,3.7,
in,east,16,3,DF,N,n/a,18,45.72,11.1,
